query,keywords,conditions,expect_company,expect_indicator,expect_time,description
深天马A最新的成交量(本周以来),"深天马A,000050.SZ,成交量(本周以来),VOLUME_W","ORDER BY,LIMIT 1,TRADE_DT",深天马A,成交量(本周以来),latest,[market] 验证 成交量(本周以来) (kline)
查一下丽珠集团的成交量(本周以来),"丽珠集团,000513.SZ,成交量(本周以来),VOLUME_W",TRADE_DT,丽珠集团,成交量(本周以来),10y,[market] 验证 成交量(本周以来) (kline)
查一下深桑达A的流通股本,"深桑达A,000032.SZ,流通股本,FLOAT_A_SHR_TODAY",,深桑达A,流通股本,10y,[market] 验证 流通股本 (line)
截至2023年底武商集团的流通股本,"武商集团,000501.SZ,流通股本,FLOAT_A_SHR_TODAY","<=,2023",武商集团,流通股本,until_2023,[market] 验证 流通股本 (line)
查一下英特集团的涨跌,"英特集团,000411.SZ,涨跌,S_DQ_CHANGE",,英特集团,涨跌,10y,[market] 验证 涨跌 (line)
深圳机场最近一年的涨跌走势,"深圳机场,000089.SZ,涨跌,S_DQ_CHANGE",,深圳机场,涨跌,1y,[market] 验证 涨跌 (line)
国际实业的收盘价是多少,"国际实业,000159.SZ,收盘价,S_DQ_CLOSE",TRADE_DT,国际实业,收盘价,10y,[market] 验证 收盘价 (kline)
合百集团最新的收盘价,"合百集团,000417.SZ,收盘价,S_DQ_CLOSE","ORDER BY,LIMIT 1,TRADE_DT",合百集团,收盘价,latest,[market] 验证 收盘价 (kline)
方大集团的最高价是多少,"方大集团,000055.SZ,最高价,S_DQ_HIGH",TRADE_DT,方大集团,最高价,10y,[market] 验证 最高价 (kline)
截至2023年底国新健康的最高价,"国新健康,000503.SZ,最高价,S_DQ_HIGH","<=,2023,TRADE_DT",国新健康,最高价,until_2023,[market] 验证 最高价 (kline)
中国长城最近一年的最低价走势,"中国长城,000066.SZ,最低价,S_DQ_LOW",TRADE_DT,中国长城,最低价,1y,[market] 验证 最低价 (kline)
华控赛格最近一年的最低价走势,"华控赛格,000068.SZ,最低价,S_DQ_LOW",TRADE_DT,华控赛格,最低价,1y,[market] 验证 最低价 (kline)
ST晨鸣最近一年的流通市值走势,"ST晨鸣,000488.SZ,流通市值,S_DQ_MV",,ST晨鸣,流通市值,1y,[market] 验证 流通市值 (line)
川能动力的流通市值是多少,"川能动力,000155.SZ,流通市值,S_DQ_MV",,川能动力,流通市值,10y,[market] 验证 流通市值 (line)
2023年徐工机械的开盘价,"徐工机械,000425.SZ,开盘价,S_DQ_OPEN","2023,TRADE_DT",徐工机械,开盘价,2023,[market] 验证 开盘价 (kline)
全新好的开盘价是多少,"全新好,000007.SZ,开盘价,S_DQ_OPEN",TRADE_DT,全新好,开盘价,10y,[market] 验证 开盘价 (kline)
2023年珠海港的涨跌幅,"珠海港,000507.SZ,涨跌幅,S_DQ_PCTCHANGE",2023,珠海港,涨跌幅,2023,[market] 验证 涨跌幅 (line)
查一下中成股份的涨跌幅,"中成股份,000151.SZ,涨跌幅,S_DQ_PCTCHANGE",,中成股份,涨跌幅,10y,[market] 验证 涨跌幅 (line)
华锦股份的成交量是多少,"华锦股份,000059.SZ,成交量,S_DQ_VOLUME",TRADE_DT,华锦股份,成交量,10y,[market] 验证 成交量 (kline)
截至2023年底华控赛格的成交量,"华控赛格,000068.SZ,成交量,S_DQ_VOLUME","<=,2023,TRADE_DT",华控赛格,成交量,until_2023,[market] 验证 成交量 (kline)
胜利股份的市净率PB(LF)是多少,"胜利股份,000407.SZ,市净率PB(LF),PB",,胜利股份,市净率PB(LF),10y,[valuation] 验证 市净率PB(LF) (band)
农产品最新的市净率PB(LF),"农产品,000061.SZ,市净率PB(LF),PB","ORDER BY,LIMIT 1",农产品,市净率PB(LF),latest,[valuation] 验证 市净率PB(LF) (band)
查一下*ST国华的市盈率PE(LYR),"*ST国华,000004.SZ,市盈率PE(LYR),PE",,*ST国华,市盈率PE(LYR),10y,[valuation] 验证 市盈率PE(LYR) (band)
美丽生态最近一年的市盈率PE(LYR)走势,"美丽生态,000010.SZ,市盈率PE(LYR),PE",,美丽生态,市盈率PE(LYR),1y,[valuation] 验证 市盈率PE(LYR) (band)
湖北宜化最近一年的市盈率PE(TTM)走势,"湖北宜化,000422.SZ,市盈率PE(TTM),PE_TTM",,湖北宜化,市盈率PE(TTM),1y,[valuation] 验证 市盈率PE(TTM) (band)
特发信息最新的市盈率PE(TTM),"特发信息,000070.SZ,市盈率PE(TTM),PE_TTM","ORDER BY,LIMIT 1",特发信息,市盈率PE(TTM),latest,[valuation] 验证 市盈率PE(TTM) (band)
截至2023年底深中华A的市销率PS(LYR),"深中华A,000017.SZ,市销率PS(LYR),PS","<=,2023",深中华A,市销率PS(LYR),until_2023,[valuation] 验证 市销率PS(LYR) (band)
查一下华锦股份的市销率PS(LYR),"华锦股份,000059.SZ,市销率PS(LYR),PS",,华锦股份,市销率PS(LYR),10y,[valuation] 验证 市销率PS(LYR) (band)
截至2023年底英特集团的市销率PS(TTM),"英特集团,000411.SZ,市销率PS(TTM),PS_TTM","<=,2023",英特集团,市销率PS(TTM),until_2023,[valuation] 验证 市销率PS(TTM) (band)
查一下美的集团的市销率PS(TTM),"美的集团,000333.SZ,市销率PS(TTM),PS_TTM",,美的集团,市销率PS(TTM),10y,[valuation] 验证 市销率PS(TTM) (band)
截至2023年底湖北宜化的当日收盘价,"湖北宜化,000422.SZ,当日收盘价,S_DQ_CLOSE_TODAY","<=,2023",湖北宜化,当日收盘价,until_2023,[valuation] 验证 当日收盘价 (line)
2023年华塑控股的当日收盘价,"华塑控股,000509.SZ,当日收盘价,S_DQ_CLOSE_TODAY",2023,华塑控股,当日收盘价,2023,[valuation] 验证 当日收盘价 (line)
神州数码最新的股息率(近12个月),"神州数码,000034.SZ,股息率(近12个月),S_VAL_DIVIDENDYIELD2","ORDER BY,LIMIT 1",神州数码,股息率(近12个月),latest,[valuation] 验证 股息率(近12个月) (line)
2023年渝开发的股息率(近12个月),"渝开发,000514.SZ,股息率(近12个月),S_VAL_DIVIDENDYIELD2",2023,渝开发,股息率(近12个月),2023,[valuation] 验证 股息率(近12个月) (line)
合百集团的当日总市值是多少,"合百集团,000417.SZ,当日总市值,S_VAL_MV",,合百集团,当日总市值,10y,[valuation] 验证 当日总市值 (line)
中信海直最新的当日总市值,"中信海直,000099.SZ,当日总市值,S_VAL_MV","ORDER BY,LIMIT 1",中信海直,当日总市值,latest,[valuation] 验证 当日总市值 (line)
海王生物最近一年的PB估值分位数(10Y)走势,"海王生物,000078.SZ,PB估值分位数(10Y),PB_NEW_10Y",,海王生物,PB估值分位数(10Y),1y,[valuation] 验证 PB估值分位数(10Y) (band)
查一下中国长城的PB估值分位数(10Y),"中国长城,000066.SZ,PB估值分位数(10Y),PB_NEW_10Y",,中国长城,PB估值分位数(10Y),10y,[valuation] 验证 PB估值分位数(10Y) (band)
北方国际最近一年的PB估值分位数(3Y)走势,"北方国际,000065.SZ,PB估值分位数(3Y),PB_NEW_3Y",,北方国际,PB估值分位数(3Y),1y,[valuation] 验证 PB估值分位数(3Y) (band)
中集集团最近一年的PB估值分位数(3Y)走势,"中集集团,000039.SZ,PB估值分位数(3Y),PB_NEW_3Y",,中集集团,PB估值分位数(3Y),1y,[valuation] 验证 PB估值分位数(3Y) (band)
特发信息最近一年的PB估值分位数(5Y)走势,"特发信息,000070.SZ,PB估值分位数(5Y),PB_NEW_5Y",,特发信息,PB估值分位数(5Y),1y,[valuation] 验证 PB估值分位数(5Y) (band)
截至2023年底英特集团的PB估值分位数(5Y),"英特集团,000411.SZ,PB估值分位数(5Y),PB_NEW_5Y","<=,2023",英特集团,PB估值分位数(5Y),until_2023,[valuation] 验证 PB估值分位数(5Y) (band)
截至2023年底潍柴动力的PB估值分位数(上市以来),"潍柴动力,000338.SZ,PB估值分位数(上市以来),PB_NEW_SL","<=,2023",潍柴动力,PB估值分位数(上市以来),until_2023,[valuation] 验证 PB估值分位数(上市以来) (band)
截至2023年底云鼎科技的PB估值分位数(上市以来),"云鼎科技,000409.SZ,PB估值分位数(上市以来),PB_NEW_SL","<=,2023",云鼎科技,PB估值分位数(上市以来),until_2023,[valuation] 验证 PB估值分位数(上市以来) (band)
深华发A最新的PE估值分位数(10Y),"深华发A,000020.SZ,PE估值分位数(10Y),PE_TTM_10Y","ORDER BY,LIMIT 1",深华发A,PE估值分位数(10Y),latest,[valuation] 验证 PE估值分位数(10Y) (band)
国新健康最近一年的PE估值分位数(10Y)走势,"国新健康,000503.SZ,PE估值分位数(10Y),PE_TTM_10Y",,国新健康,PE估值分位数(10Y),1y,[valuation] 验证 PE估值分位数(10Y) (band)
查一下*ST张股的PE估值分位数(3Y),"*ST张股,000430.SZ,PE估值分位数(3Y),PE_TTM_3Y",,*ST张股,PE估值分位数(3Y),10y,[valuation] 验证 PE估值分位数(3Y) (band)
南京公用最近一年的PE估值分位数(3Y)走势,"南京公用,000421.SZ,PE估值分位数(3Y),PE_TTM_3Y",,南京公用,PE估值分位数(3Y),1y,[valuation] 验证 PE估值分位数(3Y) (band)
深纺织A最近一年的PE估值分位数(5Y)走势,"深纺织A,000045.SZ,PE估值分位数(5Y),PE_TTM_5Y",,深纺织A,PE估值分位数(5Y),1y,[valuation] 验证 PE估值分位数(5Y) (band)
深康佳A最近一年的PE估值分位数(5Y)走势,"深康佳A,000016.SZ,PE估值分位数(5Y),PE_TTM_5Y",,深康佳A,PE估值分位数(5Y),1y,[valuation] 验证 PE估值分位数(5Y) (band)
查一下*ST生物的PE估值分位数(上市以来),"*ST生物,000504.SZ,PE估值分位数(上市以来),PE_TTM_SL",,*ST生物,PE估值分位数(上市以来),10y,[valuation] 验证 PE估值分位数(上市以来) (band)
京粮控股最新的PE估值分位数(上市以来),"京粮控股,000505.SZ,PE估值分位数(上市以来),PE_TTM_SL","ORDER BY,LIMIT 1",京粮控股,PE估值分位数(上市以来),latest,[valuation] 验证 PE估值分位数(上市以来) (band)
深南电A的PS估值分位数(10Y)是多少,"深南电A,000037.SZ,PS估值分位数(10Y),PS_TTM_10Y",,深南电A,PS估值分位数(10Y),10y,[valuation] 验证 PS估值分位数(10Y) (band)
京粮控股最近一年的PS估值分位数(10Y)走势,"京粮控股,000505.SZ,PS估值分位数(10Y),PS_TTM_10Y",,京粮控股,PS估值分位数(10Y),1y,[valuation] 验证 PS估值分位数(10Y) (band)
全新好最新的PS估值分位数(3Y),"全新好,000007.SZ,PS估值分位数(3Y),PS_TTM_3Y","ORDER BY,LIMIT 1",全新好,PS估值分位数(3Y),latest,[valuation] 验证 PS估值分位数(3Y) (band)
东方盛虹最新的PS估值分位数(3Y),"东方盛虹,000301.SZ,PS估值分位数(3Y),PS_TTM_3Y","ORDER BY,LIMIT 1",东方盛虹,PS估值分位数(3Y),latest,[valuation] 验证 PS估值分位数(3Y) (band)
截至2023年底常山北明的PS估值分位数(5Y),"常山北明,000158.SZ,PS估值分位数(5Y),PS_TTM_5Y","<=,2023",常山北明,PS估值分位数(5Y),until_2023,[valuation] 验证 PS估值分位数(5Y) (band)
查一下北方国际的PS估值分位数(5Y),"北方国际,000065.SZ,PS估值分位数(5Y),PS_TTM_5Y",,北方国际,PS估值分位数(5Y),10y,[valuation] 验证 PS估值分位数(5Y) (band)
截至2023年底新金路的PS估值分位数(上市以来),"新金路,000510.SZ,PS估值分位数(上市以来),PS_TTM_SL","<=,2023",新金路,PS估值分位数(上市以来),until_2023,[valuation] 验证 PS估值分位数(上市以来) (band)
截至2023年底国际实业的PS估值分位数(上市以来),"国际实业,000159.SZ,PS估值分位数(上市以来),PS_TTM_SL","<=,2023",国际实业,PS估值分位数(上市以来),until_2023,[valuation] 验证 PS估值分位数(上市以来) (band)
2023年渝开发的应付票据及应付账款,"渝开发,000514.SZ,应付票据及应付账款,ACCOUNTS_PAYABLE",2023,渝开发,应付票据及应付账款,2023,[financial_statements] 验证 应付票据及应付账款 (table)
特发信息的应付票据及应付账款是多少,"特发信息,000070.SZ,应付票据及应付账款,ACCOUNTS_PAYABLE",,特发信息,应付票据及应付账款,10y,[financial_statements] 验证 应付票据及应付账款 (table)
截至2023年底金融街的应收票据及应收账款,"金融街,000402.SZ,应收票据及应收账款,ACCOUNTS_RECEIVABLE_BILL","<=,2023",金融街,应收票据及应收账款,until_2023,[financial_statements] 验证 应收票据及应收账款 (table)
2023年海王生物的应收票据及应收账款,"海王生物,000078.SZ,应收票据及应收账款,ACCOUNTS_RECEIVABLE_BILL",2023,海王生物,应收票据及应收账款,2023,[financial_statements] 验证 应收票据及应收账款 (table)
深深房A最新的资本公积,"深深房A,000029.SZ,资本公积,CAP_RSRV","ORDER BY,LIMIT 1",深深房A,资本公积,latest,[financial_statements] 验证 资本公积 (table)
中国天楹最近一年的资本公积走势,"中国天楹,000035.SZ,资本公积,CAP_RSRV",,中国天楹,资本公积,1y,[financial_statements] 验证 资本公积 (table)
2023年金融街的股本,"金融街,000402.SZ,股本,CAP_STK",2023,金融街,股本,2023,[financial_statements] 验证 股本 (table)
查一下渤海租赁的股本,"渤海租赁,000415.SZ,股本,CAP_STK",,渤海租赁,股本,10y,[financial_statements] 验证 股本 (table)
深粮控股最近一年的期初现金及现金等价物余额走势,"深粮控股,000019.SZ,期初现金及现金等价物余额,CASH_CASH_EQU_BEG_PERIOD",,深粮控股,期初现金及现金等价物余额,1y,[financial_statements] 验证 期初现金及现金等价物余额 (table)
截至2023年底深桑达A的期初现金及现金等价物余额,"深桑达A,000032.SZ,期初现金及现金等价物余额,CASH_CASH_EQU_BEG_PERIOD","<=,2023",深桑达A,期初现金及现金等价物余额,until_2023,[financial_statements] 验证 期初现金及现金等价物余额 (table)
兴业银锡最近一年的期末现金及现金等价物余额走势,"兴业银锡,000426.SZ,期末现金及现金等价物余额,CASH_CASH_EQU_END_PERIOD",,兴业银锡,期末现金及现金等价物余额,1y,[financial_statements] 验证 期末现金及现金等价物余额 (table)
深圳能源的期末现金及现金等价物余额是多少,"深圳能源,000027.SZ,期末现金及现金等价物余额,CASH_CASH_EQU_END_PERIOD",,深圳能源,期末现金及现金等价物余额,10y,[financial_statements] 验证 期末现金及现金等价物余额 (table)
查一下湖北宜化的投资支付的现金,"湖北宜化,000422.SZ,投资支付的现金,CASH_PAID_INVEST",,湖北宜化,投资支付的现金,10y,[financial_statements] 验证 投资支付的现金 (table)
查一下中洲控股的投资支付的现金,"中洲控股,000042.SZ,投资支付的现金,CASH_PAID_INVEST",,中洲控股,投资支付的现金,10y,[financial_statements] 验证 投资支付的现金 (table)
2023年川能动力的购建固定无形长期资产支付的现金,"川能动力,000155.SZ,购建固定无形长期资产支付的现金,CASH_PAY_ACQ_CONST_FIOLTA",2023,川能动力,购建固定无形长期资产支付的现金,2023,[financial_statements] 验证 购建固定无形长期资产支付的现金 (table)
华锦股份的购建固定无形长期资产支付的现金是多少,"华锦股份,000059.SZ,购建固定无形长期资产支付的现金,CASH_PAY_ACQ_CONST_FIOLTA",,华锦股份,购建固定无形长期资产支付的现金,10y,[financial_statements] 验证 购建固定无形长期资产支付的现金 (table)
查一下京粮控股的为职工支付的现金,"京粮控股,000505.SZ,为职工支付的现金,CASH_PAY_BEH_EMPL",,京粮控股,为职工支付的现金,10y,[financial_statements] 验证 为职工支付的现金 (table)
截至2023年底合百集团的为职工支付的现金,"合百集团,000417.SZ,为职工支付的现金,CASH_PAY_BEH_EMPL","<=,2023",合百集团,为职工支付的现金,until_2023,[financial_statements] 验证 为职工支付的现金 (table)
查一下中金岭南的分配股利利润或偿付利息支付的现金,"中金岭南,000060.SZ,分配股利利润或偿付利息支付的现金,CASH_PAY_DIST_DPCP_INT_EXP",,中金岭南,分配股利利润或偿付利息支付的现金,10y,[financial_statements] 验证 分配股利利润或偿付利息支付的现金 (table)
2023年华侨城A的分配股利利润或偿付利息支付的现金,"华侨城A,000069.SZ,分配股利利润或偿付利息支付的现金,CASH_PAY_DIST_DPCP_INT_EXP",2023,华侨城A,分配股利利润或偿付利息支付的现金,2023,[financial_statements] 验证 分配股利利润或偿付利息支付的现金 (table)
截至2023年底派林生物的购买商品接受劳务支付的现金,"派林生物,000403.SZ,购买商品接受劳务支付的现金,CASH_PAY_GOODS_PURCH_SERV_REC","<=,2023",派林生物,购买商品接受劳务支付的现金,until_2023,[financial_statements] 验证 购买商品接受劳务支付的现金 (table)
藏格矿业最近一年的购买商品接受劳务支付的现金走势,"藏格矿业,000408.SZ,购买商品接受劳务支付的现金,CASH_PAY_GOODS_PURCH_SERV_REC",,藏格矿业,购买商品接受劳务支付的现金,1y,[financial_statements] 验证 购买商品接受劳务支付的现金 (table)
深粮控股最新的取得借款收到的现金,"深粮控股,000019.SZ,取得借款收到的现金,CASH_RECP_BORROW","ORDER BY,LIMIT 1",深粮控股,取得借款收到的现金,latest,[financial_statements] 验证 取得借款收到的现金 (table)
中国宝安最新的取得借款收到的现金,"中国宝安,000009.SZ,取得借款收到的现金,CASH_RECP_BORROW","ORDER BY,LIMIT 1",中国宝安,取得借款收到的现金,latest,[financial_statements] 验证 取得借款收到的现金 (table)
华侨城A最近一年的取得投资收益收到的现金走势,"华侨城A,000069.SZ,取得投资收益收到的现金,CASH_RECP_RETURN_INVEST",,华侨城A,取得投资收益收到的现金,1y,[financial_statements] 验证 取得投资收益收到的现金 (table)
全新好最新的取得投资收益收到的现金,"全新好,000007.SZ,取得投资收益收到的现金,CASH_RECP_RETURN_INVEST","ORDER BY,LIMIT 1",全新好,取得投资收益收到的现金,latest,[financial_statements] 验证 取得投资收益收到的现金 (table)
华数传媒最新的销售商品提供劳务收到的现金,"华数传媒,000156.SZ,销售商品提供劳务收到的现金,CASH_RECP_SG_AND_RS","ORDER BY,LIMIT 1",华数传媒,销售商品提供劳务收到的现金,latest,[financial_statements] 验证 销售商品提供劳务收到的现金 (table)
北方国际最新的销售商品提供劳务收到的现金,"北方国际,000065.SZ,销售商品提供劳务收到的现金,CASH_RECP_SG_AND_RS","ORDER BY,LIMIT 1",北方国际,销售商品提供劳务收到的现金,latest,[financial_statements] 验证 销售商品提供劳务收到的现金 (table)
截至2023年底TCL科技的在建工程(合计),"TCL科技,000100.SZ,在建工程(合计),CONST_IN_PROG_TOT","<=,2023",TCL科技,在建工程(合计),until_2023,[financial_statements] 验证 在建工程(合计) (table)
吉林化纤的在建工程(合计)是多少,"吉林化纤,000420.SZ,在建工程(合计),CONST_IN_PROG_TOT",,吉林化纤,在建工程(合计),10y,[financial_statements] 验证 在建工程(合计) (table)
沙河股份最近一年的应付职工薪酬走势,"沙河股份,000014.SZ,应付职工薪酬,EMPL_BEN_PAYABLE",,沙河股份,应付职工薪酬,1y,[financial_statements] 验证 应付职工薪酬 (table)
云鼎科技的应付职工薪酬是多少,"云鼎科技,000409.SZ,应付职工薪酬,EMPL_BEN_PAYABLE",,云鼎科技,应付职工薪酬,10y,[financial_statements] 验证 应付职工薪酬 (table)
查一下金隅冀东的所得税,"金隅冀东,000401.SZ,所得税,INC_TAX",,金隅冀东,所得税,10y,[financial_statements] 验证 所得税 (table)
万科A最新的所得税,"万科A,000002.SZ,所得税,INC_TAX","ORDER BY,LIMIT 1",万科A,所得税,latest,[financial_statements] 验证 所得税 (table)
特力A最新的无形资产,"特力A,000025.SZ,无形资产,INTANG_ASSETS","ORDER BY,LIMIT 1",特力A,无形资产,latest,[financial_statements] 验证 无形资产 (table)
截至2023年底深桑达A的无形资产,"深桑达A,000032.SZ,无形资产,INTANG_ASSETS","<=,2023",深桑达A,无形资产,until_2023,[financial_statements] 验证 无形资产 (table)
查一下美丽生态的存货,"美丽生态,000010.SZ,存货,INVENTORIES",,美丽生态,存货,10y,[financial_statements] 验证 存货 (table)
截至2023年底神州高铁的存货,"神州高铁,000008.SZ,存货,INVENTORIES","<=,2023",神州高铁,存货,until_2023,[financial_statements] 验证 存货 (table)
截至2023年底富奥股份的财务费用,"富奥股份,000030.SZ,财务费用,LESS_FIN_EXP","<=,2023",富奥股份,财务费用,until_2023,[financial_statements] 验证 财务费用 (table)
查一下长虹华意的财务费用,"长虹华意,000404.SZ,财务费用,LESS_FIN_EXP",,长虹华意,财务费用,10y,[financial_statements] 验证 财务费用 (table)
华数传媒最新的管理费用,"华数传媒,000156.SZ,管理费用,LESS_GERL_ADMIN_EXP","ORDER BY,LIMIT 1",华数传媒,管理费用,latest,[financial_statements] 验证 管理费用 (table)
天健集团最新的管理费用,"天健集团,000090.SZ,管理费用,LESS_GERL_ADMIN_EXP","ORDER BY,LIMIT 1",天健集团,管理费用,latest,[financial_statements] 验证 管理费用 (table)
查一下中兴通讯的营业成本,"中兴通讯,000063.SZ,营业成本,LESS_OPER_COST",,中兴通讯,营业成本,10y,[financial_statements] 验证 营业成本 (table)
查一下华塑控股的营业成本,"华塑控股,000509.SZ,营业成本,LESS_OPER_COST",,华塑控股,营业成本,10y,[financial_statements] 验证 营业成本 (table)
金融街最近一年的销售费用走势,"金融街,000402.SZ,销售费用,LESS_SELLING_DIST_EXP",,金融街,销售费用,1y,[financial_statements] 验证 销售费用 (table)
2023年通程控股的销售费用,"通程控股,000419.SZ,销售费用,LESS_SELLING_DIST_EXP",2023,通程控股,销售费用,2023,[financial_statements] 验证 销售费用 (table)
截至2023年底潍柴动力的长期股权投资,"潍柴动力,000338.SZ,长期股权投资,LONG_TERM_EQY_INVEST","<=,2023",潍柴动力,长期股权投资,until_2023,[financial_statements] 验证 长期股权投资 (table)
海王生物的长期股权投资是多少,"海王生物,000078.SZ,长期股权投资,LONG_TERM_EQY_INVEST",,海王生物,长期股权投资,10y,[financial_statements] 验证 长期股权投资 (table)
查一下东方盛虹的长期借款,"东方盛虹,000301.SZ,长期借款,LT_BORROW",,东方盛虹,长期借款,10y,[financial_statements] 验证 长期借款 (table)
派林生物最新的长期借款,"派林生物,000403.SZ,长期借款,LT_BORROW","ORDER BY,LIMIT 1",派林生物,长期借款,latest,[financial_statements] 验证 长期借款 (table)
截至2023年底中国宝安的少数股东权益,"中国宝安,000009.SZ,少数股东权益,MINORITY_INT","<=,2023",中国宝安,少数股东权益,until_2023,[financial_statements] 验证 少数股东权益 (table)
查一下中国长城的少数股东权益,"中国长城,000066.SZ,少数股东权益,MINORITY_INT",,中国长城,少数股东权益,10y,[financial_statements] 验证 少数股东权益 (table)
渝开发最近一年的少数股东损益走势,"渝开发,000514.SZ,少数股东损益,MINORITY_INT_INC",,渝开发,少数股东损益,1y,[financial_statements] 验证 少数股东损益 (table)
华数传媒最新的少数股东损益,"华数传媒,000156.SZ,少数股东损益,MINORITY_INT_INC","ORDER BY,LIMIT 1",华数传媒,少数股东损益,latest,[financial_statements] 验证 少数股东损益 (table)
查一下南京公用的货币资金,"南京公用,000421.SZ,货币资金,MONETARY_CAP",,南京公用,货币资金,10y,[financial_statements] 验证 货币资金 (table)
深物业A的货币资金是多少,"深物业A,000011.SZ,货币资金,MONETARY_CAP",,深物业A,货币资金,10y,[financial_statements] 验证 货币资金 (table)
截至2023年底兴业银锡的筹资活动现金净流量,"兴业银锡,000426.SZ,筹资活动现金净流量,NET_CASH_FLOWS_FNC_ACT","<=,2023",兴业银锡,筹资活动现金净流量,until_2023,[financial_statements] 验证 筹资活动现金净流量 (table)
盐田港最近一年的筹资活动现金净流量走势,"盐田港,000088.SZ,筹资活动现金净流量,NET_CASH_FLOWS_FNC_ACT",,盐田港,筹资活动现金净流量,1y,[financial_statements] 验证 筹资活动现金净流量 (table)
国新健康最新的投资活动现金净流量,"国新健康,000503.SZ,投资活动现金净流量,NET_CASH_FLOWS_INV_ACT","ORDER BY,LIMIT 1",国新健康,投资活动现金净流量,latest,[financial_statements] 验证 投资活动现金净流量 (table)
*ST生物最近一年的投资活动现金净流量走势,"*ST生物,000504.SZ,投资活动现金净流量,NET_CASH_FLOWS_INV_ACT",,*ST生物,投资活动现金净流量,1y,[financial_statements] 验证 投资活动现金净流量 (table)
通程控股的经营活动现金净流量是多少,"通程控股,000419.SZ,经营活动现金净流量,NET_CASH_FLOWS_OPER_ACT",,通程控股,经营活动现金净流量,10y,[financial_statements] 验证 经营活动现金净流量 (table)
2023年神州数码的经营活动现金净流量,"神州数码,000034.SZ,经营活动现金净流量,NET_CASH_FLOWS_OPER_ACT",2023,神州数码,经营活动现金净流量,2023,[financial_statements] 验证 经营活动现金净流量 (table)
