question,expected_keywords,expected_conditions,expect_company,expect_indicator,expect_time,description
农产品最新的成交量(本月以来),"农产品,000061.SZ,成交量(本月以来),VOLUME_M","ORDER BY,LIMIT 1,TRADE_DT",农产品,成交量(本月以来),latest,[market] 验证 成交量(本月以来) (kline)
2023年沈阳机床的成交量(本周以来),"沈阳机床,000410.SZ,成交量(本周以来),VOLUME_W","2023,TRADE_DT",沈阳机床,成交量(本周以来),2023,[market] 验证 成交量(本周以来) (kline)
华塑控股最近一年的成交量(本周以来)走势,"华塑控股,000509.SZ,成交量(本周以来),VOLUME_W",TRADE_DT,华塑控股,成交量(本周以来),1y,[market] 验证 成交量(本周以来) (kline)
广聚能源的流通股本是多少,"广聚能源,000096.SZ,流通股本,FLOAT_A_SHR_TODAY",,广聚能源,流通股本,10y,[market] 验证 流通股本 (line)
2023年中联重科的流通股本,"中联重科,000157.SZ,流通股本,FLOAT_A_SHR_TODAY",2023,中联重科,流通股本,2023,[market] 验证 流通股本 (line)
深振业A最近一年的涨跌走势,"深振业A,000006.SZ,涨跌,S_DQ_CHANGE",,深振业A,涨跌,1y,[market] 验证 涨跌 (line)
深物业A最近一年的涨跌走势,"深物业A,000011.SZ,涨跌,S_DQ_CHANGE",,深物业A,涨跌,1y,[market] 验证 涨跌 (line)
许继电气最近一年的收盘价走势,"许继电气,000400.SZ,收盘价,S_DQ_CLOSE",TRADE_DT,许继电气,收盘价,1y,[market] 验证 收盘价 (kline)
截至2023年底盐田港的收盘价,"盐田港,000088.SZ,收盘价,S_DQ_CLOSE","<=,2023,TRADE_DT",盐田港,收盘价,until_2023,[market] 验证 收盘价 (kline)
深圳机场最近一年的最高价走势,"深圳机场,000089.SZ,最高价,S_DQ_HIGH",TRADE_DT,深圳机场,最高价,1y,[market] 验证 最高价 (kline)
2023年山东路桥的最高价,"山东路桥,000498.SZ,最高价,S_DQ_HIGH","2023,TRADE_DT",山东路桥,最高价,2023,[market] 验证 最高价 (kline)
截至2023年底华数传媒的最低价,"华数传媒,000156.SZ,最低价,S_DQ_LOW","<=,2023,TRADE_DT",华数传媒,最低价,until_2023,[market] 验证 最低价 (kline)
查一下中信海直的最低价,"中信海直,000099.SZ,最低价,S_DQ_LOW",TRADE_DT,中信海直,最低价,10y,[market] 验证 最低价 (kline)
2023年深物业A的流通市值,"深物业A,000011.SZ,流通市值,S_DQ_MV",2023,深物业A,流通市值,2023,[market] 验证 流通市值 (line)
深振业A的流通市值是多少,"深振业A,000006.SZ,流通市值,S_DQ_MV",,深振业A,流通市值,10y,[market] 验证 流通市值 (line)
截至2023年底万科A的开盘价,"万科A,000002.SZ,开盘价,S_DQ_OPEN","<=,2023,TRADE_DT",万科A,开盘价,until_2023,[market] 验证 开盘价 (kline)
2023年国际医学的开盘价,"国际医学,000516.SZ,开盘价,S_DQ_OPEN","2023,TRADE_DT",国际医学,开盘价,2023,[market] 验证 开盘价 (kline)
中成股份最新的涨跌幅,"中成股份,000151.SZ,涨跌幅,S_DQ_PCTCHANGE","ORDER BY,LIMIT 1",中成股份,涨跌幅,latest,[market] 验证 涨跌幅 (line)
截至2023年底深康佳A的涨跌幅,"深康佳A,000016.SZ,涨跌幅,S_DQ_PCTCHANGE","<=,2023",深康佳A,涨跌幅,until_2023,[market] 验证 涨跌幅 (line)
国际实业最近一年的成交量走势,"国际实业,000159.SZ,成交量,S_DQ_VOLUME",TRADE_DT,国际实业,成交量,1y,[market] 验证 成交量 (kline)
中成股份最近一年的成交量走势,"中成股份,000151.SZ,成交量,S_DQ_VOLUME",TRADE_DT,中成股份,成交量,1y,[market] 验证 成交量 (kline)
截至2023年底东阿阿胶的市净率PB(LF),"东阿阿胶,000423.SZ,市净率PB(LF),PB","<=,2023",东阿阿胶,市净率PB(LF),until_2023,[valuation] 验证 市净率PB(LF) (band)
2023年特发信息的市净率PB(LF),"特发信息,000070.SZ,市净率PB(LF),PB",2023,特发信息,市净率PB(LF),2023,[valuation] 验证 市净率PB(LF) (band)
查一下国际医学的市盈率PE(LYR),"国际医学,000516.SZ,市盈率PE(LYR),PE",,国际医学,市盈率PE(LYR),10y,[valuation] 验证 市盈率PE(LYR) (band)
东阿阿胶最新的市盈率PE(LYR),"东阿阿胶,000423.SZ,市盈率PE(LYR),PE","ORDER BY,LIMIT 1",东阿阿胶,市盈率PE(LYR),latest,[valuation] 验证 市盈率PE(LYR) (band)
深中华A最近一年的市盈率PE(TTM)走势,"深中华A,000017.SZ,市盈率PE(TTM),PE_TTM",,深中华A,市盈率PE(TTM),1y,[valuation] 验证 市盈率PE(TTM) (band)
2023年德赛电池的市盈率PE(TTM),"德赛电池,000049.SZ,市盈率PE(TTM),PE_TTM",2023,德赛电池,市盈率PE(TTM),2023,[valuation] 验证 市盈率PE(TTM) (band)
截至2023年底深天马A的市销率PS(LYR),"深天马A,000050.SZ,市销率PS(LYR),PS","<=,2023",深天马A,市销率PS(LYR),until_2023,[valuation] 验证 市销率PS(LYR) (band)
方大集团的市销率PS(LYR)是多少,"方大集团,000055.SZ,市销率PS(LYR),PS",,方大集团,市销率PS(LYR),10y,[valuation] 验证 市销率PS(LYR) (band)
2023年华天酒店的市销率PS(TTM),"华天酒店,000428.SZ,市销率PS(TTM),PS_TTM",2023,华天酒店,市销率PS(TTM),2023,[valuation] 验证 市销率PS(TTM) (band)
查一下派林生物的市销率PS(TTM),"派林生物,000403.SZ,市销率PS(TTM),PS_TTM",,派林生物,市销率PS(TTM),10y,[valuation] 验证 市销率PS(TTM) (band)
2023年北方国际的当日收盘价,"北方国际,000065.SZ,当日收盘价,S_DQ_CLOSE_TODAY",2023,北方国际,当日收盘价,2023,[valuation] 验证 当日收盘价 (line)
截至2023年底渝开发的当日收盘价,"渝开发,000514.SZ,当日收盘价,S_DQ_CLOSE_TODAY","<=,2023",渝开发,当日收盘价,until_2023,[valuation] 验证 当日收盘价 (line)
湖北宜化的股息率(近12个月)是多少,"湖北宜化,000422.SZ,股息率(近12个月),S_VAL_DIVIDENDYIELD2",,湖北宜化,股息率(近12个月),10y,[valuation] 验证 股息率(近12个月) (line)
2023年华天酒店的股息率(近12个月),"华天酒店,000428.SZ,股息率(近12个月),S_VAL_DIVIDENDYIELD2",2023,华天酒店,股息率(近12个月),2023,[valuation] 验证 股息率(近12个月) (line)
截至2023年底金隅冀东的当日总市值,"金隅冀东,000401.SZ,当日总市值,S_VAL_MV","<=,2023",金隅冀东,当日总市值,until_2023,[valuation] 验证 当日总市值 (line)
截至2023年底湖北宜化的当日总市值,"湖北宜化,000422.SZ,当日总市值,S_VAL_MV","<=,2023",湖北宜化,当日总市值,until_2023,[valuation] 验证 当日总市值 (line)
截至2023年底海王生物的PB估值分位数(10Y),"海王生物,000078.SZ,PB估值分位数(10Y),PB_NEW_10Y","<=,2023",海王生物,PB估值分位数(10Y),until_2023,[valuation] 验证 PB估值分位数(10Y) (band)
2023年美丽生态的PB估值分位数(10Y),"美丽生态,000010.SZ,PB估值分位数(10Y),PB_NEW_10Y",2023,美丽生态,PB估值分位数(10Y),2023,[valuation] 验证 PB估值分位数(10Y) (band)
兴业银锡最新的PB估值分位数(3Y),"兴业银锡,000426.SZ,PB估值分位数(3Y),PB_NEW_3Y","ORDER BY,LIMIT 1",兴业银锡,PB估值分位数(3Y),latest,[valuation] 验证 PB估值分位数(3Y) (band)
*ST国华最近一年的PB估值分位数(3Y)走势,"*ST国华,000004.SZ,PB估值分位数(3Y),PB_NEW_3Y",,*ST国华,PB估值分位数(3Y),1y,[valuation] 验证 PB估值分位数(3Y) (band)
英特集团最近一年的PB估值分位数(5Y)走势,"英特集团,000411.SZ,PB估值分位数(5Y),PB_NEW_5Y",,英特集团,PB估值分位数(5Y),1y,[valuation] 验证 PB估值分位数(5Y) (band)
截至2023年底川能动力的PB估值分位数(5Y),"川能动力,000155.SZ,PB估值分位数(5Y),PB_NEW_5Y","<=,2023",川能动力,PB估值分位数(5Y),until_2023,[valuation] 验证 PB估值分位数(5Y) (band)
渝开发最新的PB估值分位数(上市以来),"渝开发,000514.SZ,PB估值分位数(上市以来),PB_NEW_SL","ORDER BY,LIMIT 1",渝开发,PB估值分位数(上市以来),latest,[valuation] 验证 PB估值分位数(上市以来) (band)
查一下中金岭南的PB估值分位数(上市以来),"中金岭南,000060.SZ,PB估值分位数(上市以来),PB_NEW_SL",,中金岭南,PB估值分位数(上市以来),10y,[valuation] 验证 PB估值分位数(上市以来) (band)
深康佳A最新的PE估值分位数(10Y),"深康佳A,000016.SZ,PE估值分位数(10Y),PE_TTM_10Y","ORDER BY,LIMIT 1",深康佳A,PE估值分位数(10Y),latest,[valuation] 验证 PE估值分位数(10Y) (band)
2023年深物业A的PE估值分位数(10Y),"深物业A,000011.SZ,PE估值分位数(10Y),PE_TTM_10Y",2023,深物业A,PE估值分位数(10Y),2023,[valuation] 验证 PE估值分位数(10Y) (band)
东阿阿胶的PE估值分位数(3Y)是多少,"东阿阿胶,000423.SZ,PE估值分位数(3Y),PE_TTM_3Y",,东阿阿胶,PE估值分位数(3Y),10y,[valuation] 验证 PE估值分位数(3Y) (band)
藏格矿业最新的PE估值分位数(3Y),"藏格矿业,000408.SZ,PE估值分位数(3Y),PE_TTM_3Y","ORDER BY,LIMIT 1",藏格矿业,PE估值分位数(3Y),latest,[valuation] 验证 PE估值分位数(3Y) (band)
大悦城的PE估值分位数(5Y)是多少,"大悦城,000031.SZ,PE估值分位数(5Y),PE_TTM_5Y",,大悦城,PE估值分位数(5Y),10y,[valuation] 验证 PE估值分位数(5Y) (band)
查一下华联控股的PE估值分位数(5Y),"华联控股,000036.SZ,PE估值分位数(5Y),PE_TTM_5Y",,华联控股,PE估值分位数(5Y),10y,[valuation] 验证 PE估值分位数(5Y) (band)
截至2023年底中国天楹的PE估值分位数(上市以来),"中国天楹,000035.SZ,PE估值分位数(上市以来),PE_TTM_SL","<=,2023",中国天楹,PE估值分位数(上市以来),until_2023,[valuation] 验证 PE估值分位数(上市以来) (band)
2023年华塑控股的PE估值分位数(上市以来),"华塑控股,000509.SZ,PE估值分位数(上市以来),PE_TTM_SL",2023,华塑控股,PE估值分位数(上市以来),2023,[valuation] 验证 PE估值分位数(上市以来) (band)
截至2023年底飞亚达的PS估值分位数(10Y),"飞亚达,000026.SZ,PS估值分位数(10Y),PS_TTM_10Y","<=,2023",飞亚达,PS估值分位数(10Y),until_2023,[valuation] 验证 PS估值分位数(10Y) (band)
*ST生物的PS估值分位数(10Y)是多少,"*ST生物,000504.SZ,PS估值分位数(10Y),PS_TTM_10Y",,*ST生物,PS估值分位数(10Y),10y,[valuation] 验证 PS估值分位数(10Y) (band)
查一下特发信息的PS估值分位数(3Y),"特发信息,000070.SZ,PS估值分位数(3Y),PS_TTM_3Y",,特发信息,PS估值分位数(3Y),10y,[valuation] 验证 PS估值分位数(3Y) (band)
2023年美丽生态的PS估值分位数(3Y),"美丽生态,000010.SZ,PS估值分位数(3Y),PS_TTM_3Y",2023,美丽生态,PS估值分位数(3Y),2023,[valuation] 验证 PS估值分位数(3Y) (band)
深中华A最近一年的PS估值分位数(5Y)走势,"深中华A,000017.SZ,PS估值分位数(5Y),PS_TTM_5Y",,深中华A,PS估值分位数(5Y),1y,[valuation] 验证 PS估值分位数(5Y) (band)
深圳机场最新的PS估值分位数(5Y),"深圳机场,000089.SZ,PS估值分位数(5Y),PS_TTM_5Y","ORDER BY,LIMIT 1",深圳机场,PS估值分位数(5Y),latest,[valuation] 验证 PS估值分位数(5Y) (band)
华控赛格最新的PS估值分位数(上市以来),"华控赛格,000068.SZ,PS估值分位数(上市以来),PS_TTM_SL","ORDER BY,LIMIT 1",华控赛格,PS估值分位数(上市以来),latest,[valuation] 验证 PS估值分位数(上市以来) (band)
沈阳机床的PS估值分位数(上市以来)是多少,"沈阳机床,000410.SZ,PS估值分位数(上市以来),PS_TTM_SL",,沈阳机床,PS估值分位数(上市以来),10y,[valuation] 验证 PS估值分位数(上市以来) (band)
截至2023年底粤高速A的应付票据及应付账款,"粤高速A,000429.SZ,应付票据及应付账款,ACCOUNTS_PAYABLE","<=,2023",粤高速A,应付票据及应付账款,until_2023,[financial_statements] 验证 应付票据及应付账款 (table)
2023年东方盛虹的应付票据及应付账款,"东方盛虹,000301.SZ,应付票据及应付账款,ACCOUNTS_PAYABLE",2023,东方盛虹,应付票据及应付账款,2023,[financial_statements] 验证 应付票据及应付账款 (table)
2023年沙河股份的应收票据及应收账款,"沙河股份,000014.SZ,应收票据及应收账款,ACCOUNTS_RECEIVABLE_BILL",2023,沙河股份,应收票据及应收账款,2023,[financial_statements] 验证 应收票据及应收账款 (table)
查一下中洲控股的应收票据及应收账款,"中洲控股,000042.SZ,应收票据及应收账款,ACCOUNTS_RECEIVABLE_BILL",,中洲控股,应收票据及应收账款,10y,[financial_statements] 验证 应收票据及应收账款 (table)
美的集团最新的资本公积,"美的集团,000333.SZ,资本公积,CAP_RSRV","ORDER BY,LIMIT 1",美的集团,资本公积,latest,[financial_statements] 验证 资本公积 (table)
截至2023年底国新健康的资本公积,"国新健康,000503.SZ,资本公积,CAP_RSRV","<=,2023",国新健康,资本公积,until_2023,[financial_statements] 验证 资本公积 (table)
2023年东方盛虹的股本,"东方盛虹,000301.SZ,股本,CAP_STK",2023,东方盛虹,股本,2023,[financial_statements] 验证 股本 (table)
截至2023年底深纺织A的股本,"深纺织A,000045.SZ,股本,CAP_STK","<=,2023",深纺织A,股本,until_2023,[financial_statements] 验证 股本 (table)
截至2023年底深物业A的期初现金及现金等价物余额,"深物业A,000011.SZ,期初现金及现金等价物余额,CASH_CASH_EQU_BEG_PERIOD","<=,2023",深物业A,期初现金及现金等价物余额,until_2023,[financial_statements] 验证 期初现金及现金等价物余额 (table)
深粮控股最新的期初现金及现金等价物余额,"深粮控股,000019.SZ,期初现金及现金等价物余额,CASH_CASH_EQU_BEG_PERIOD","ORDER BY,LIMIT 1",深粮控股,期初现金及现金等价物余额,latest,[financial_statements] 验证 期初现金及现金等价物余额 (table)
吉林化纤最近一年的期末现金及现金等价物余额走势,"吉林化纤,000420.SZ,期末现金及现金等价物余额,CASH_CASH_EQU_END_PERIOD",,吉林化纤,期末现金及现金等价物余额,1y,[financial_statements] 验证 期末现金及现金等价物余额 (table)
截至2023年底中联重科的期末现金及现金等价物余额,"中联重科,000157.SZ,期末现金及现金等价物余额,CASH_CASH_EQU_END_PERIOD","<=,2023",中联重科,期末现金及现金等价物余额,until_2023,[financial_statements] 验证 期末现金及现金等价物余额 (table)
吉林化纤最近一年的投资支付的现金走势,"吉林化纤,000420.SZ,投资支付的现金,CASH_PAID_INVEST",,吉林化纤,投资支付的现金,1y,[financial_statements] 验证 投资支付的现金 (table)
截至2023年底新金路的投资支付的现金,"新金路,000510.SZ,投资支付的现金,CASH_PAID_INVEST","<=,2023",新金路,投资支付的现金,until_2023,[financial_statements] 验证 投资支付的现金 (table)
中联重科最近一年的购建固定无形长期资产支付的现金走势,"中联重科,000157.SZ,购建固定无形长期资产支付的现金,CASH_PAY_ACQ_CONST_FIOLTA",,中联重科,购建固定无形长期资产支付的现金,1y,[financial_statements] 验证 购建固定无形长期资产支付的现金 (table)
中金岭南最新的购建固定无形长期资产支付的现金,"中金岭南,000060.SZ,购建固定无形长期资产支付的现金,CASH_PAY_ACQ_CONST_FIOLTA","ORDER BY,LIMIT 1",中金岭南,购建固定无形长期资产支付的现金,latest,[financial_statements] 验证 购建固定无形长期资产支付的现金 (table)
粤高速A最近一年的为职工支付的现金走势,"粤高速A,000429.SZ,为职工支付的现金,CASH_PAY_BEH_EMPL",,粤高速A,为职工支付的现金,1y,[financial_statements] 验证 为职工支付的现金 (table)
中集集团的为职工支付的现金是多少,"中集集团,000039.SZ,为职工支付的现金,CASH_PAY_BEH_EMPL",,中集集团,为职工支付的现金,10y,[financial_statements] 验证 为职工支付的现金 (table)
截至2023年底英特集团的分配股利利润或偿付利息支付的现金,"英特集团,000411.SZ,分配股利利润或偿付利息支付的现金,CASH_PAY_DIST_DPCP_INT_EXP","<=,2023",英特集团,分配股利利润或偿付利息支付的现金,until_2023,[financial_statements] 验证 分配股利利润或偿付利息支付的现金 (table)
丽珠集团最近一年的分配股利利润或偿付利息支付的现金走势,"丽珠集团,000513.SZ,分配股利利润或偿付利息支付的现金,CASH_PAY_DIST_DPCP_INT_EXP",,丽珠集团,分配股利利润或偿付利息支付的现金,1y,[financial_statements] 验证 分配股利利润或偿付利息支付的现金 (table)
国际实业最近一年的购买商品接受劳务支付的现金走势,"国际实业,000159.SZ,购买商品接受劳务支付的现金,CASH_PAY_GOODS_PURCH_SERV_REC",,国际实业,购买商品接受劳务支付的现金,1y,[financial_statements] 验证 购买商品接受劳务支付的现金 (table)
国新健康的购买商品接受劳务支付的现金是多少,"国新健康,000503.SZ,购买商品接受劳务支付的现金,CASH_PAY_GOODS_PURCH_SERV_REC",,国新健康,购买商品接受劳务支付的现金,10y,[financial_statements] 验证 购买商品接受劳务支付的现金 (table)
皇庭国际最近一年的取得借款收到的现金走势,"皇庭国际,000056.SZ,取得借款收到的现金,CASH_RECP_BORROW",,皇庭国际,取得借款收到的现金,1y,[financial_statements] 验证 取得借款收到的现金 (table)
截至2023年底武商集团的取得借款收到的现金,"武商集团,000501.SZ,取得借款收到的现金,CASH_RECP_BORROW","<=,2023",武商集团,取得借款收到的现金,until_2023,[financial_statements] 验证 取得借款收到的现金 (table)
查一下中联重科的取得投资收益收到的现金,"中联重科,000157.SZ,取得投资收益收到的现金,CASH_RECP_RETURN_INVEST",,中联重科,取得投资收益收到的现金,10y,[financial_statements] 验证 取得投资收益收到的现金 (table)
藏格矿业的取得投资收益收到的现金是多少,"藏格矿业,000408.SZ,取得投资收益收到的现金,CASH_RECP_RETURN_INVEST",,藏格矿业,取得投资收益收到的现金,10y,[financial_statements] 验证 取得投资收益收到的现金 (table)
深赛格的销售商品提供劳务收到的现金是多少,"深赛格,000058.SZ,销售商品提供劳务收到的现金,CASH_RECP_SG_AND_RS",,深赛格,销售商品提供劳务收到的现金,10y,[financial_statements] 验证 销售商品提供劳务收到的现金 (table)
神州高铁最近一年的销售商品提供劳务收到的现金走势,"神州高铁,000008.SZ,销售商品提供劳务收到的现金,CASH_RECP_SG_AND_RS",,神州高铁,销售商品提供劳务收到的现金,1y,[financial_statements] 验证 销售商品提供劳务收到的现金 (table)
2023年深圳能源的在建工程(合计),"深圳能源,000027.SZ,在建工程(合计),CONST_IN_PROG_TOT",2023,深圳能源,在建工程(合计),2023,[financial_statements] 验证 在建工程(合计) (table)
特力A最新的在建工程(合计),"特力A,000025.SZ,在建工程(合计),CONST_IN_PROG_TOT","ORDER BY,LIMIT 1",特力A,在建工程(合计),latest,[financial_statements] 验证 在建工程(合计) (table)
截至2023年底中国天楹的应付职工薪酬,"中国天楹,000035.SZ,应付职工薪酬,EMPL_BEN_PAYABLE","<=,2023",中国天楹,应付职工薪酬,until_2023,[financial_statements] 验证 应付职工薪酬 (table)
深纺织A的应付职工薪酬是多少,"深纺织A,000045.SZ,应付职工薪酬,EMPL_BEN_PAYABLE",,深纺织A,应付职工薪酬,10y,[financial_statements] 验证 应付职工薪酬 (table)
查一下中洲控股的所得税,"中洲控股,000042.SZ,所得税,INC_TAX",,中洲控股,所得税,10y,[financial_statements] 验证 所得税 (table)
中国宝安的所得税是多少,"中国宝安,000009.SZ,所得税,INC_TAX",,中国宝安,所得税,10y,[financial_statements] 验证 所得税 (table)
截至2023年底富奥股份的无形资产,"富奥股份,000030.SZ,无形资产,INTANG_ASSETS","<=,2023",富奥股份,无形资产,until_2023,[financial_statements] 验证 无形资产 (table)
查一下深科技的无形资产,"深科技,000021.SZ,无形资产,INTANG_ASSETS",,深科技,无形资产,10y,[financial_statements] 验证 无形资产 (table)
珠海港最近一年的存货走势,"珠海港,000507.SZ,存货,INVENTORIES",,珠海港,存货,1y,[financial_statements] 验证 存货 (table)
查一下深圳能源的存货,"深圳能源,000027.SZ,存货,INVENTORIES",,深圳能源,存货,10y,[financial_statements] 验证 存货 (table)
2023年中国天楹的财务费用,"中国天楹,000035.SZ,财务费用,LESS_FIN_EXP",2023,中国天楹,财务费用,2023,[financial_statements] 验证 财务费用 (table)
金隅冀东最新的财务费用,"金隅冀东,000401.SZ,财务费用,LESS_FIN_EXP","ORDER BY,LIMIT 1",金隅冀东,财务费用,latest,[financial_statements] 验证 财务费用 (table)
查一下英特集团的管理费用,"英特集团,000411.SZ,管理费用,LESS_GERL_ADMIN_EXP",,英特集团,管理费用,10y,[financial_statements] 验证 管理费用 (table)
兴业银锡最近一年的管理费用走势,"兴业银锡,000426.SZ,管理费用,LESS_GERL_ADMIN_EXP",,兴业银锡,管理费用,1y,[financial_statements] 验证 管理费用 (table)
查一下沈阳机床的营业成本,"沈阳机床,000410.SZ,营业成本,LESS_OPER_COST",,沈阳机床,营业成本,10y,[financial_statements] 验证 营业成本 (table)
截至2023年底全新好的营业成本,"全新好,000007.SZ,营业成本,LESS_OPER_COST","<=,2023",全新好,营业成本,until_2023,[financial_statements] 验证 营业成本 (table)
2023年*ST国华的销售费用,"*ST国华,000004.SZ,销售费用,LESS_SELLING_DIST_EXP",2023,*ST国华,销售费用,2023,[financial_statements] 验证 销售费用 (table)
南京公用最近一年的销售费用走势,"南京公用,000421.SZ,销售费用,LESS_SELLING_DIST_EXP",,南京公用,销售费用,1y,[financial_statements] 验证 销售费用 (table)
查一下中国天楹的长期股权投资,"中国天楹,000035.SZ,长期股权投资,LONG_TERM_EQY_INVEST",,中国天楹,长期股权投资,10y,[financial_statements] 验证 长期股权投资 (table)
方大集团最近一年的长期股权投资走势,"方大集团,000055.SZ,长期股权投资,LONG_TERM_EQY_INVEST",,方大集团,长期股权投资,1y,[financial_statements] 验证 长期股权投资 (table)
查一下中兴通讯的长期借款,"中兴通讯,000063.SZ,长期借款,LT_BORROW",,中兴通讯,长期借款,10y,[financial_statements] 验证 长期借款 (table)
深康佳A最近一年的长期借款走势,"深康佳A,000016.SZ,长期借款,LT_BORROW",,深康佳A,长期借款,1y,[financial_statements] 验证 长期借款 (table)
截至2023年底华锦股份的少数股东权益,"华锦股份,000059.SZ,少数股东权益,MINORITY_INT","<=,2023",华锦股份,少数股东权益,until_2023,[financial_statements] 验证 少数股东权益 (table)
截至2023年底渤海租赁的少数股东权益,"渤海租赁,000415.SZ,少数股东权益,MINORITY_INT","<=,2023",渤海租赁,少数股东权益,until_2023,[financial_statements] 验证 少数股东权益 (table)
查一下珠海港的少数股东损益,"珠海港,000507.SZ,少数股东损益,MINORITY_INT_INC",,珠海港,少数股东损益,10y,[financial_statements] 验证 少数股东损益 (table)
京基智农的少数股东损益是多少,"京基智农,000048.SZ,少数股东损益,MINORITY_INT_INC",,京基智农,少数股东损益,10y,[financial_statements] 验证 少数股东损益 (table)
华天酒店的货币资金是多少,"华天酒店,000428.SZ,货币资金,MONETARY_CAP",,华天酒店,货币资金,10y,[financial_statements] 验证 货币资金 (table)
查一下许继电气的货币资金,"许继电气,000400.SZ,货币资金,MONETARY_CAP",,许继电气,货币资金,10y,[financial_statements] 验证 货币资金 (table)
2023年申万宏源的筹资活动现金净流量,"申万宏源,000166.SZ,筹资活动现金净流量,NET_CASH_FLOWS_FNC_ACT",2023,申万宏源,筹资活动现金净流量,2023,[financial_statements] 验证 筹资活动现金净流量 (table)
截至2023年底国药一致的筹资活动现金净流量,"国药一致,000028.SZ,筹资活动现金净流量,NET_CASH_FLOWS_FNC_ACT","<=,2023",国药一致,筹资活动现金净流量,until_2023,[financial_statements] 验证 筹资活动现金净流量 (table)
金融街最新的投资活动现金净流量,"金融街,000402.SZ,投资活动现金净流量,NET_CASH_FLOWS_INV_ACT","ORDER BY,LIMIT 1",金融街,投资活动现金净流量,latest,[financial_statements] 验证 投资活动现金净流量 (table)
京粮控股最近一年的投资活动现金净流量走势,"京粮控股,000505.SZ,投资活动现金净流量,NET_CASH_FLOWS_INV_ACT",,京粮控股,投资活动现金净流量,1y,[financial_statements] 验证 投资活动现金净流量 (table)
2023年深桑达A的经营活动现金净流量,"深桑达A,000032.SZ,经营活动现金净流量,NET_CASH_FLOWS_OPER_ACT",2023,深桑达A,经营活动现金净流量,2023,[financial_statements] 验证 经营活动现金净流量 (table)
